country	name	name_normalized	caps	goals	most_recent_year_played	position	year_born	club	club_nationality	played_in_latest
Nigeria	Emmanuel Dennis	emmanueldennis	8	1	2022	FW	1997	Nottingham Forest F.C.	ENG	TRUE
Nigeria	Moses Simon	mosessimon	55	7	2022	FW	1995	FC Nantes	FRA	TRUE
Nigeria	Paul Onuachu	paulonuachu	17	3	2022	FW	1994	KRC Genk	BEL	TRUE
Nigeria	Kayode Bankole	kayodebankole	0	0	2022	GK	2002	Remo Stars F.C.	NGA	FALSE
Nigeria	Nathaniel Nwosu	nathanielnwosu	0	0	2022	GK	2006	Water F.C.	NGA	FALSE
Nigeria	Ojo Olorunleke	ojoolorunleke	0	0	2022	GK	1995	Enyimba F.C.	NGA	FALSE
Nigeria	Daniel Akpeyi	danielakpeyi	18	0	2022	GK	1986	'Free agent''		FALSE
Nigeria	John Noble Barinyima	johnnoblebarinyima	0	0	2021	GK	1993	Enyimba F.C.	NGA	FALSE
Nigeria	Chidiebere Nwobodo	chidieberenwobodo	0	0	2022	DF	2003	Rangers International F.C.	NGA	FALSE
Nigeria	Evans Ogbonda	evansogbonda	0	0	2022	DF	2002	Akwa United F.C.	NGA	FALSE
Nigeria	Mustapha Jibrin	mustaphajibrin	0	0	2022	DF	2001	Abia Warriors F.C.	NGA	FALSE
Nigeria	Ejeh Isaiah	ejehisaiah	0	0	2022	DF	2002	Kwara United F.C.	NGA	FALSE
Nigeria	Ola Aina	olaaina	29	0	2022	DF	1996	Torino F.C.	ITA	FALSE
Nigeria	Zaidu Sanusi	zaidusanusi	12	0	2022	DF	1997	FC Porto	POR	FALSE
Nigeria	Valentine Ozornwafor	valentineozornwafor	0	0	2022	DF	1999	FC Sochaux-Montbéliard	FRA	FALSE
Nigeria	Kenneth Omeruo	kennethomeruo	59	1	2022	DF	1993	CD Leganés	ESP	FALSE
Nigeria	Ibrahim Buhari	ibrahimbuhari	0	0	2022	DF	2001	IF Elfsborg	SWE	FALSE
Nigeria	Isa Ali	isaali	0	0	2022	DF	2001	Remo Stars F.C.	NGA	FALSE
Nigeria	Jamilu Collins	jamilucollins	26	0	2022	DF	1994	Cardiff City F.C.	WAL	FALSE
Nigeria	Olisa Ndah	olisandah	2	0	2021	DF	1998	Orlando Pirates F.C.	RSA	FALSE
Nigeria	Daniel Wotlai	danielwotlai	0	0	2022	MF		Abia Warriors F.C.	NGA	FALSE
Nigeria	Afeez Nosiru	afeeznosiru	0	0	2022	MF		Kwara United F.C.	NGA	FALSE
Nigeria	Paul Samson	paulsamson	0	0	2022	MF		Abia Warriors F.C.	NGA	FALSE
Nigeria	Qudus Akanni	qudusakanni	0	0	2022	MF	2000	Remo Stars F.C.	NGA	FALSE
Nigeria	Raphael Onyedika	raphaelonyedika	1	0	2022	MF	2001	Club Brugge KV	BEL	FALSE
Nigeria	Chiamaka Madu	chiamakamadu	1	0	2022	MF	1996	Rivers United F.C.	NGR	FALSE
Nigeria	Babatunde Bello	babatundebello	0	0	2022	MF	2003	Akwa United F.C.	NGA	FALSE
Nigeria	Nosiru Babatunde	nosirubabatunde	0	0	2022	MF		Kwara United F.C.	NGA	FALSE
Nigeria	Azubuike Okechukwu	azubuikeokechukwu	1	0	2022	MF	1997	İstanbul Başakşehir F.K.	TUR	FALSE
Nigeria	Samson Tijani	samsontijani	1	0	2022	MF	2002	FC Red Bull Salzburg	AUT	FALSE
Nigeria	Alhassan Yusuf	alhassanyusuf	0	0	2022	MF	2000	Royal Antwerp F.C.	BEL	FALSE
Nigeria	Akinkunmi Amoo	akinkunmiamoo	0	0	2022	MF	2002	F.C. Copenhagen	DEN	FALSE
Nigeria	Ogenyi Onazi	ogenyionazi	53	1	2022	MF	1992	Casertana F.C.	ITA	FALSE
Nigeria	Kelechi Nwakali	kelechinwakali	4	0	2021	MF	1998	SD Ponferradina	ESP	FALSE
Nigeria	Victor Osimhen	victorosimhen	22	15	2022	FW	1998	S.S.C. Napoli	ITA	FALSE
Nigeria	Sunday Faleye	sundayfaleye	5	1	2022	FW	1998	Shooting Stars S.C	NGA	FALSE
Nigeria	Ezekiel Edidiong	ezekieledidiong	0	0	2022	FW	2001	Remo Stars F.C.	NGA	FALSE
Nigeria	Jerry Alex	jerryalex	0	0	2022	FW		Lobi Stars F.C.	NGA	FALSE
Nigeria	Saviour Godwin	saviourgodwin	1	0	2022	FW	1996	Casa Pia A.C.	POR	FALSE
Nigeria	Kelechi Iheanacho	kelechiiheanacho	44	12	2022	FW	1996	Leicester City F.C.	ENG	FALSE
Nigeria	Chidera Ejuke	chideraejuke	3	0	2022	FW	1998	Hertha BSC	GER	FALSE
Nigeria	Umar Sadiq	umarsadiq	5	1	2022	FW	1997	Real Sociedad	ESP	FALSE
Nigeria	Victor Mbaoma	victormbaoma	2	0	2022	FW	1996	Enyimba F.C.	NGA	FALSE
Nigeria	Ishaq Rafiu	ishaqrafiu	1	0	2022	FW	2000	NK Maribor	SVN	FALSE
Nigeria	Odion Ighalo	odionighalo	37	16	2022	FW	1989	Al Hilal SFC	KSA	FALSE
Nigeria	Peter Olayinka	peterolayinka	5	0	2022	FW	1995	SK Slavia Prague	CZE	FALSE
